vendor,family,part_number,document_type,title,source_url,local_folder,redistribution_status,verification_status,notes
STMicroelectronics,STM32F0,STM32F030,part_prefix_index,STM32F030 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
STMicroelectronics,STM32F0,STM32F031,part_prefix_index,STM32F031 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
STMicroelectronics,STM32F0,STM32F038,part_prefix_index,STM32F038 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
STMicroelectronics,STM32F0,STM32F042,part_prefix_index,STM32F042 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
STMicroelectronics,STM32F0,STM32F048,part_prefix_index,STM32F048 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
STMicroelectronics,STM32F0,STM32F051,part_prefix_index,STM32F051 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
STMicroelectronics,STM32F0,STM32F058,part_prefix_index,STM32F058 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
STMicroelectronics,STM32F0,STM32F070,part_prefix_index,STM32F070 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
STMicroelectronics,STM32F0,STM32F071,part_prefix_index,STM32F071 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
STMicroelectronics,STM32F0,STM32F072,part_prefix_index,STM32F072 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
STMicroelectronics,STM32F0,STM32F078,part_prefix_index,STM32F078 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
STMicroelectronics,STM32F0,STM32F091,part_prefix_index,STM32F091 family/prefix index,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Family/prefix scaffold. Select exact order code from official ST product selector before design use.
