"timestamp","url","error"
"2026-05-10 12:40:49","https://abracon.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:40:54","https://allaboutcircuits.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:40:59","https://amphenol-cs.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:44:00","https://analog.com/","The operation has timed out."
"2026-05-10 12:44:01","https://ansi.org/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:44:14","https://blog.ansi.org/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:47:21","https://community.element14.com/","The operation has timed out."
"2026-05-10 12:47:22","https://componentsearchengine.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:47:31","https://digikey.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:47:32","https://diodes.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:50:54","https://electronics-tutorials.ws/","The operation has timed out."
"2026-05-10 12:51:14","https://gct.co/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:52:13","https://jst-mfg.com/","The remote name could not be resolved: 'jst-mfg.com'"
"2026-05-10 12:52:20","https://keysight.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:52:30","https://littelfuse.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:52:35","https://microchip.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:55:38","https://molex.com/","The operation has timed out."
"2026-05-10 12:55:56","https://ngspice.sourceforge.io/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:55:57","https://nordicsemi.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:56:00","https://nxp.com/","The remote server returned an error: (404) Not Found."
"2026-05-10 12:56:10","https://onsemi.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:56:17","https://panasonic.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:56:28","https://phoenixcontact.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:56:29","https://polar-instruments.com/","The remote name could not be resolved: 'polar-instruments.com'"
"2026-05-10 12:56:30","https://power.com/","The remote server returned an error: (406) Not Acceptable."
"2026-05-10 12:56:36","https://raspberrypi.com/","The remote server returned an error: (403) Forbidden."
"2026-05-10 12:57:00","https://samacsys.com/","The remote name could not be resolved: 'samacsys.com'"
"2026-05-10 13:00:17","https://st.com/","The operation has timed out."
"2026-05-10 13:01:32","https://te.com/","The underlying connection was closed: An unexpected error occurred on a send."
"2026-05-10 13:01:38","https://tempoautomation.com/","The remote name could not be resolved: 'tempoautomation.com'"
"2026-05-10 13:01:47","https://umich.edu/","The remote server returned an error: (403) Forbidden."
"2026-05-10 13:02:26","https://workmanship.nasa.gov/","The remote name could not be resolved: 'workmanship.nasa.gov'"
"2026-05-10 13:02:31","https://yageo.com/","The remote name could not be resolved: 'yageo.com'"
