file_path,placeholder_type,severity,required_content
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
.codex/prompts/NEW_KICAD_PROJECT.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
.prompts/README.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
.prompts/codex/02_CREATE_NEW_PROJECT_WORKSPACE.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
.prompts/codex/03_RESEARCH_COMPONENT.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
.prompts/codex/04_ADD_COMPONENT_TO_DATABASE.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
.prompts/codex/05_PLAN_SCHEMATIC.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
.vscode/tasks.json,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
00_CODEX_START/HISTORY_INDEX.generated.json,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
00_CODEX_START/HISTORY_INDEX.generated.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
00_CODEX_START/HISTORY_INDEX.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
00_CODEX_START/MEMORY_INDEX.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
00_CODEX_START/SESSION_START_CHECKLIST.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
00_CODEX_START/TOOL_INDEX.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
00_CODEX_START/WORKFLOW_RULES.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/MASTER_HISTORY_INDEX.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/claim_evidence_matrices/MCU_DATASHEET_TREE_UPGRADE_CLAIM_EVIDENCE_MATRIX.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/claim_evidence_matrices/STM32_SOURCE_LINK_RESEARCH_CLAIM_EVIDENCE_MATRIX.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/command_logs/KIBOT_INSTALL_COMMANDS.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/command_logs/KICAD_HAPPY_INSTALL_COMMANDS.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/command_logs/KICAD_MCP_PRO_INSTALL_COMMANDS.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/command_logs/MCU_DATASHEET_TREE_UPGRADE_COMMANDS.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/command_logs/STM32_SOURCE_LINK_RESEARCH_COMMANDS.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/command_logs/VISUAL_TOOLS_INSTALL_COMMANDS.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/design_reviews/COMPONENT_DATABASE_CORE_SETUP_AUDIT.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/design_reviews/KICAD_ENGINE_FINAL_SETUP_AUDIT.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/design_reviews/MICROCONTROLLER_FAMILY_CONTENT_GENERATOR_AUDIT.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/design_reviews/STM32F1_PILOT_CONTENT_COMPLETION_REPORT.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/design_reviews/STM32_DATASHEET_TREE_CONTENT_COMPLETION_AUDIT.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/design_reviews/STM32_SOURCE_LINK_RESEARCH_REPORT.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/design_reviews/SUPPLIER_DATASHEET_FOOTPRINT_FINAL_AUDIT.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/fabrication_reviews,EMPTY_FOLDER,HIGH,"Add intended files, .gitkeep with purpose, or remove from production scope."
02_HISTORY/failed_attempts/MCU_TREE_UPGRADE_RG_DOLLAR_QUOTING.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/issue_logs/MCU_DATASHEET_SUPPORT_FOLDERS_REMAIN_WEAK.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
02_HISTORY/project_history/COMMAND_LINK_VERIFIED_REFERENCE,EMPTY_FOLDER,HIGH,"Add intended files, .gitkeep with purpose, or remove from production scope."
02_HISTORY/sessions/KICAD_VERIFICATION_SCRIPTS_CREATED.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,Replace placeholders with verified content or clearly mark intentionally unverified/template-only status.
